STN,YYYYMMDD,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,TG_C,HDD,CDD,Date
278,20220101,204,34,36,50,4,20,8,90,16,125,113,3,133,13,107,6,16,21,169,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,92,6,80,23,3,12.5,5.5,0.0,2022-01-01
278,20220102,228,52,55,90,23,30,3,160,22,115,100,21,128,5,93,24,8,10,120,41,33,13,21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,85,94,21,77,14,2,11.5,6.5,0.0,2022-01-02
278,20220103,235,60,61,80,1,30,24,150,1,96,78,21,116,13,68,24,18,23,210,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,90,21,73,13,3,9.6,8.4,0.0,2022-01-03
278,20220104,245,27,33,50,10,20,15,90,12,61,16,24,90,1,3,24,0,0,106,6,11,8,12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,89,95,8,81,20,1,6.1,11.9,0.0,2022-01-04
278,20220105,267,48,53,80,8,30,20,150,9,44,14,4,70,13,4,6,6,8,133,40,48,16,9,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,84,92,9,80,18,2,4.4,13.6,0.0,2022-01-05
278,20220106,222,23,27,40,14,20,1,90,23,32,-21,8,72,14,-39,12,60,77,377,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,84,99,9,74,14,4,3.2,14.8,0.0,2022-01-06
278,20220107,215,37,39,50,1,20,21,110,12,32,10,24,57,15,7,24,3,4,129,21,21,9,24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,89,96,24,78,16,2,3.2,14.8,0.0,2022-01-07
278,20220108,189,37,39,60,15,20,3,120,19,24,-6,7,45,20,-23,12,18,23,209,62,37,21,24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,92,98,3,84,14,2,2.4,15.6,0.0,2022-01-08
278,20220109,257,35,38,60,5,20,19,110,5,44,9,24,64,4,-15,24,40,50,313,30,42,21,3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,90,98,24,84,11,4,4.4,13.6,0.0,2022-01-09
278,20220110,150,9,12,20,15,10,1,40,18,0,-28,8,50,13,-47,12,63,79,406,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,96,99,7,86,13,4,0.0,18.0,0.0,2022-01-10
278,20220111,183,20,22,30,6,10,1,60,7,8,-25,1,42,14,-26,6,52,65,370,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,93,99,2,81,14,4,0.8,17.2,0.0,2022-01-11
278,20220112,226,18,20,30,19,10,4,60,21,37,28,1,57,14,16,18,10,12,217,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,96,99,1,88,14,3,3.7,14.3,0.0,2022-01-12
278,20220113,229,33,33,50,13,20,3,80,13,42,35,6,50,15,35,12,0,0,107,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,98,99,1,96,15,1,4.2,13.8,0.0,2022-01-13
278,20220114,262,18,20,30,1,10,16,60,2,57,46,1,70,13,44,6,0,0,130,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,94,98,5,86,12,2,5.7,12.3,0.0,2022-01-14
278,20220115,170,19,23,30,8,10,1,60,12,33,11,24,55,1,12,24,0,0,91,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,98,99,2,94,6,1,3.3,14.7,0.0,2022-01-15
278,20220116,239,36,39,50,12,30,1,90,13,46,12,1,69,22,12,6,0,0,129,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,92,99,2,78,23,2,4.6,13.4,0.0,2022-01-16
278,20220117,285,38,40,60,8,20,21,100,7,70,43,5,90,13,34,6,7,8,197,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,87,95,24,77,1,3,7.0,11.0,0.0,2022-01-17
278,20220118,252,9,16,30,15,0,24,50,2,46,9,24,69,1,-9,24,0,0,142,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,98,99,4,93,11,2,4.6,13.4,0.0,2022-01-18
278,20220119,239,24,31,50,13,10,1,100,16,31,-11,5,63,19,-21,6,0,0,82,14,5,3,17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,94,99,1,84,20,1,3.1,14.9,0.0,2022-01-19
278,20220120,306,34,35,50,11,20,21,130,13,31,10,24,50,12,0,24,41,49,384,12,6,2,17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,80,91,1,70,5,5,3.1,14.9,0.0,2022-01-20
278,20220121,281,34,34,50,14,20,1,90,13,41,-1,6,66,14,-10,6,15,18,247,1,1,1,10,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,90,95,6,85,13,3,4.1,13.9,0.0,2022-01-21
278,20220122,280,27,28,40,1,20,9,70,2,59,51,23,71,14,50,24,0,0,111,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,94,99,20,84,15,1,5.9,12.1,0.0,2022-01-22
278,20220123,190,6,10,20,19,0,8,30,1,54,43,3,70,12,39,6,1,1,181,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,90,99,1,79,23,2,5.4,12.6,0.0,2022-01-23
278,20220124,242,4,12,20,9,0,2,40,10,43,35,22,52,1,32,24,0,0,105,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,83,91,5,76,12,1,4.3,13.7,0.0,2022-01-24
278,20220125,222,4,11,20,22,10,1,40,22,29,18,24,36,1,17,24,0,0,84,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,83,88,21,78,5,1,2.9,15.1,0.0,2022-01-25
278,20220126,223,35,36,60,23,10,1,100,24,34,15,4,47,24,15,6,0,0,82,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,87,90,5,84,12,1,3.4,14.6,0.0,2022-01-26
278,20220127,261,52,59,70,4,40,24,150,20,65,42,24,92,14,30,24,2,2,124,25,13,5,9,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,96,9,80,15,2,6.5,11.5,0.0,2022-01-27
278,20220128,259,30,36,60,24,20,7,110,3,58,22,8,78,14,6,12,59,67,469,5,7,6,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,87,24,68,14,6,5.8,12.2,0.0,2022-01-28
278,20220129,262,66,73,110,17,50,5,180,17,89,65,2,120,16,57,24,4,5,158,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,82,96,5,69,19,2,8.9,9.1,0.0,2022-01-29
278,20220130,280,33,41,60,1,20,18,130,1,53,22,18,80,14,-5,18,53,60,536,2,1,1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,71,82,23,58,12,7,5.3,12.7,0.0,2022-01-30
278,20220131,291,49,58,90,9,30,23,190,9,52,27,24,74,14,19,24,3,3,186,83,102,15,6,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,95,3,69,22,2,5.2,12.8,0.0,2022-01-31
278,20220201,268,54,60,80,13,30,1,160,21,66,28,1,92,19,22,6,0,0,134,46,25,9,13,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,85,97,9,73,24,2,6.6,11.4,0.0,2022-02-01
278,20220202,279,34,38,70,1,10,17,120,1,71,32,19,94,14,6,18,70,77,639,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,99,23,69,15,9,7.1,10.9,0.0,2022-02-02
278,20220203,222,40,40,50,6,30,3,90,6,74,65,19,85,2,60,24,0,0,98,5,2,1,13,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,93,99,1,84,9,1,7.4,10.6,0.0,2022-02-03
278,20220204,236,47,53,70,11,40,1,180,15,62,27,21,96,13,19,24,6,7,228,43,45,29,15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,87,93,16,78,12,3,6.2,11.8,0.0,2022-02-04
278,20220205,234,64,65,90,20,40,7,150,20,58,30,8,77,13,23,12,45,49,471,66,44,11,24,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,81,93,24,66,14,6,5.8,12.2,0.0,2022-02-05
278,20220206,255,67,73,90,4,50,13,180,12,69,37,22,91,7,25,24,10,11,125,123,173,34,11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,86,94,1,71,24,2,6.9,11.1,0.0,2022-02-06
278,20220207,273,46,52,70,12,40,7,160,2,57,32,2,82,13,25,6,59,63,533,5,4,3,4,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,76,86,8,69,15,7,5.7,12.3,0.0,2022-02-07
278,20220208,242,54,56,80,11,40,2,130,11,96,62,1,116,14,60,6,7,7,325,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,82,97,2,74,11,5,9.6,8.4,0.0,2022-02-08
278,20220209,231,43,43,60,8,20,20,110,11,90,79,23,108,14,75,24,4,4,270,36,9,4,17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,89,99,18,76,13,4,9.0,9.0,0.0,2022-02-09
278,20220210,260,27,31,50,13,20,1,90,13,63,28,23,82,1,13,24,15,16,391,17,10,6,7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,85,97,1,71,13,5,6.3,11.7,0.0,2022-02-10
278,20220211,287,32,39,70,5,0,22,160,6,32,-29,24,70,12,-61,24,28,29,515,13,17,12,3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,78,98,21,49,13,6,3.2,14.8,0.0,2022-02-11
278,20220212,183,28,29,50,12,10,1,100,13,21,-31,1,69,15,-59,6,78,80,885,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,74,95,1,51,14,10,2.1,15.9,0.0,2022-02-12
278,20220213,184,45,46,60,12,30,5,120,12,56,3,6,94,22,-10,12,59,61,596,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,67,78,7,58,12,8,5.6,12.4,0.0,2022-02-13
278,20220214,211,48,53,80,12,30,17,160,13,88,62,24,113,15,51,18,27,28,397,0,-1,-1,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,72,89,24,57,15,6,8.8,9.2,0.0,2022-02-14
278,20220215,220,48,49,70,12,30,3,150,19,72,51,5,91,14,43,6,37,37,568,52,46,23,18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,84,97,22,59,13,8,7.2,10.8,0.0,2022-02-15
278,20220216,233,72,75,130,22,30,2,220,22,108,72,1,129,22,65,6,0,0,130,71,53,12,17,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,89,96,3,72,24,2,10.8,7.199999999999999,0.0,2022-02-16
278,20220217,266,89,92,130,4,30,24,240,2,81,48,24,117,1,28,24,63,63,658,0,0,0,1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,67,88,24,57,13,9,8.1,9.9,0.0,2022-02-17
278,20220218,233,78,88,170,17,20,4,310,17,78,48,1,120,13,33,6,0,0,153,25,37,32,14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,77,95,9,52,21,2,7.8,10.2,0.0,2022-02-18
278,20220219,246,68,74,130,1,40,18,210,3,56,36,20,82,13,34,12,28,28,548,59,94,27,19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,74,94,22,56,14,7,5.6,12.4,0.0,2022-02-19
278,20220220,237,70,76,120,22,30,4,230,22,77,39,7,105,11,38,12,0,0,106,157,254,31,22,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,90,96,8,83,24,1,7.7,10.3,0.0,2022-02-20
