Postcode6,Gemiddelde_aardgaslevering_woningen,Gemiddelde_aardgaslevering_woningen_gecorrigeerd,Gemiddelde_elektriciteitslevering_woningen,Gemiddelde_netto_elektriciteitslevering_woningen,Gemiddelde_aardgaslevering_bedrijven,Gemiddelde_elektriciteitslevering_bedrijven,Postcode6num
8043AA,810,930,3290,2610,.,.,8043
8043AB,760,870,3210,2800,.,.,8043
8043AC,550,630,2040,1800,.,.,8043
8043AD,860,980,2140,1740,.,.,8043
8043AE,650,750,2060,2020,.,.,8043
8043AG,1160,1330,1780,1120,.,.,8043
8043AH,910,1040,2720,2010,.,.,8043
8043AJ,740,850,2550,2240,.,.,8043
8043AK,680,780,1850,1850,.,.,8043
8043AL,980,1130,3410,3060,.,.,8043
8043AM,820,940,2650,1360,.,.,8043
8043AN,770,880,2390,1750,.,.,8043
8043AP,700,800,1790,1240,.,.,8043
8043AR,770,880,2390,1660,.,.,8043
8043AS,860,990,2260,1040,.,.,8043
8043AT,910,1040,2680,2210,.,.,8043
8043AV,700,800,2250,1380,.,.,8043
8043AW,750,860,2250,1520,.,.,8043
8043AX,1030,1180,3760,2860,.,.,8043
8043AZ,1190,1360,3360,2770,.,.,8043
8043BA,700,800,2380,2080,.,6010,8043
8043BB,820,940,3180,2060,.,.,8043
8043BC,1080,1240,2940,1980,.,.,8043
8043BD,910,1040,3060,2020,.,.,8043
8043BE,650,750,2110,2030,.,.,8043
8043BG,680,780,2590,2310,.,.,8043
8043BH,690,790,2140,1710,.,.,8043
8043BJ,540,610,1830,1830,.,.,8043
8043BK,600,680,2030,2030,.,.,8043
8043BL,540,620,2310,1980,.,.,8043
8043BM,1070,1230,3310,2880,.,.,8043
8043BN,1160,1330,3450,3040,.,.,8043
8043BP,810,920,2700,2040,.,.,8043
8043BR,730,830,3250,3060,.,.,8043
8043BS,850,980,2770,2210,.,.,8043
8043BT,640,730,1630,880,.,.,8043
8043BV,780,900,2580,2410,.,.,8043
8043BW,650,740,1880,1850,.,.,8043
8043BX,750,860,2200,2010,.,.,8043
8043CA,1590,1820,3990,2440,.,.,8043
8043CB,910,1040,2970,2470,.,.,8043
8043CC,1030,1180,2890,2090,.,.,8043
8043CD,760,870,1930,1520,.,.,8043
8043CE,720,820,1780,1490,.,.,8043
8043CG,1080,1240,3380,2310,.,.,8043
8043CH,810,920,3140,2190,.,.,8043
8043CJ,900,1030,2650,2570,.,.,8043
8043CK,620,720,1550,1550,.,.,8043
8043CL,650,740,2150,2150,.,.,8043
8043CM,640,730,1810,1810,.,.,8043
8043CN,940,1080,2720,2130,.,.,8043
8043CP,970,1110,3380,2680,.,.,8043
8043CR,580,660,1750,1750,.,.,8043
