"Latitude (decimal degrees):	52.524",,,,,
"Longitude (decimal degrees):	6.045",,,,,
"Elevation (m):	2",,,,,
"Radiation database:	PVGIS-SARAH3",,,,,
,,,,,
,,,,,
Slope: 20 deg. ,,,,,
Azimuth: 112 deg. ,,,,,
time,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0,0,15.62,8.83,0
20230101:0111,0,0,15.32,8.41,0
20230101:0211,0,0,15.17,8.07,0
20230101:0311,0,0,14.88,8.14,0
20230101:0411,0,0,13.93,8.28,0
20230101:0511,0,0,13.13,8.41,0
20230101:0611,0,0,12.58,8.21,0
20230101:0711,0,0,13.16,7.52,0
20230101:0811,8.6,1.96,12.71,7.03,0
20230101:0911,48.73,7.86,12.05,6.9,0
20230101:1011,73.57,12.06,11.7,6.69,0
20230101:1111,101.28,14.22,12.22,6.69,0
20230101:1211,111.4,14.15,12.67,6.69,0
20230101:1311,87.29,11.86,12.75,6.55,0
20230101:1411,35.75,7.55,12.64,6,0
20230101:1511,1.95,1.56,12.21,4.76,0
20230101:1611,0,0,11.76,3.86,0
20230101:1711,0,0,11.39,3.59,0
20230101:1811,0,0,10.93,3.03,0
20230101:1911,0,0,10.58,4.34,0
20230101:2011,0,0,10.5,4.14,0
20230101:2111,0,0,10.5,3.59,0
20230101:2211,0,0,10.44,3.24,0
20230101:2311,0,0,10.48,3.66,0
20230102:0011,0,0,10.89,4.48,0
20230102:0111,0,0,11.62,5.31,0
20230102:0211,0,0,11.98,5.45,0
20230102:0311,0,0,12.14,5.72,0
20230102:0411,0,0,12.19,6,0
20230102:0511,0,0,11.95,5.66,0
20230102:0611,0,0,11.33,5.03,0
20230102:0711,0,0,10.64,4.83,0
20230102:0811,1.91,1.99,9.73,4.62,0
20230102:0911,46.82,7.9,9.15,4.07,0
20230102:1011,43,12.12,8.94,3.59,0
20230102:1111,110.38,14.29,8.96,3.45,0
20230102:1211,105.53,14.24,9.3,4,0
20230102:1311,62.38,11.97,9.41,4.21,0
20230102:1411,20.49,7.67,9.23,4.62,0
20230102:1511,0.98,1.68,8.63,4.62,0
20230102:1611,0,0,8.13,4.76,0
20230102:1711,0,0,7.79,4,0
20230102:1811,0,0,7.29,3.59,0
20230102:1911,0,0,6.61,3.31,0
20230102:2011,0,0,6.15,3.17,0
20230102:2111,0,0,5.62,2.9,0
20230102:2211,0,0,5.43,2.83,0
20230102:2311,0,0,5.09,2.83,0
20230103:0011,0,0,4.9,2.83,0
20230103:0111,0,0,4.54,2.62,0
20230103:0211,0,0,4.21,2.48,0
20230103:0311,0,0,3.94,2.48,0
20230103:0411,0,0,4.05,2.55,0
20230103:0511,0,0,4.4,2.62,0
20230103:0611,0,0,4.32,2.76,0
20230103:0711,0,0,3.14,2.76,0
20230103:0811,4.78,2.02,3.18,2.83,0
20230103:0911,49.69,7.95,3.92,3.1,0
20230103:1011,65.93,12.18,5.19,3.79,0
20230103:1111,59.52,14.38,6.2,5.17,0
20230103:1211,42.93,14.34,6.98,5.24,0
20230103:1311,51.71,12.08,7.56,5.03,0
20230103:1411,20.49,7.79,7.75,4.28,0
20230103:1511,3.9,1.81,7.76,4.41,0
20230103:1611,0,0,7.73,4.76,0
20230103:1711,0,0,7.63,5.17,0
20230103:1811,0,0,7.69,5.52,0
20230103:1911,0,0,7.58,5.93,0
20230103:2011,0,0,7.56,6.34,0
20230103:2111,0,0,7.69,6.83,0
20230103:2211,0,0,7.88,7.1,0
20230103:2311,0,0,8.25,7.59,0
20230104:0011,0,0,8.82,8,0
20230104:0111,0,0,9.21,8.41,0
20230104:0211,0,0,9.23,8.55,0
20230104:0311,0,0,9.22,8.41,0
20230104:0411,0,0,9.67,8.41,0
20230104:0511,0,0,10.14,8.55,0
20230104:0611,0,0,10.47,8.97,0
20230104:0711,0,0,10.97,8.62,0
20230104:0811,1.91,2.06,11.15,8.55,0
20230104:0911,35.35,8.01,11.22,8.55,0
20230104:1011,17.2,12.26,11.41,8.41,0
20230104:1111,66.35,14.47,11.78,8.55,0
20230104:1211,47.81,14.45,11.98,9.03,0
20230104:1311,40.98,12.2,12.18,9.86,0
20230104:1411,26.34,7.92,11.87,9.17,0
20230104:1511,3.9,1.95,11.69,8.69,0
20230104:1611,0,0,10.98,8.28,0
20230104:1711,0,0,10.6,8.28,0
20230104:1811,0,0,10.21,8.21,0
20230104:1911,0,0,10.26,8.14,0
20230104:2011,0,0,10.33,8.41,0
20230104:2111,0,0,10.12,8.28,0
20230104:2211,0,0,9.95,8.14,0
20230104:2311,0,0,9.77,7.45,0
20230105:0011,0,0,9.44,7.24,0
20230105:0111,0,0,9.3,7.03,0
20230105:0211,0,0,9.42,7.31,0
20230105:0311,0,0,9.31,7.38,0
20230105:0411,0,0,9.24,6.69,0
20230105:0511,0,0,9.1,6.28,0
20230105:0611,0,0,9.13,6,0
20230105:0711,0,0,9.39,6,0
20230105:0811,3.82,2.11,9.26,5.52,0
20230105:0911,47.78,8.07,9.2,5.1,0
20230105:1011,62.11,12.34,9.42,4.83,0
20230105:1111,74.31,14.57,9.65,4.76,0
20230105:1211,107.98,14.57,10.06,4.34,0
20230105:1311,92.08,12.33,10.2,4.21,0
20230105:1411,32.2,8.06,10.2,3.72,0
20230105:1511,4.88,2.09,9.9,3.17,0
20230105:1611,0,0,9.57,2.83,0
20230105:1711,0,0,9.4,2.83,0
20230105:1811,0,0,9.37,3.1,0
20230105:1911,0,0,9.4,3.86,0
20230105:2011,0,0,9.82,4.48,0
20230105:2111,0,0,10.11,4.9,0
20230105:2211,0,0,10.18,5.03,0
20230105:2311,0,0,10.14,5.1,0
20230106:0011,0,0,10.14,5.17,0
20230106:0111,0,0,10.1,5.38,0
20230106:0211,0,0,10.17,5.59,0
20230106:0311,0,0,10.29,5.79,0
20230106:0411,0,0,10.37,6.14,0
20230106:0511,0,0,10.36,6.55,0
20230106:0611,0,0,10.25,6.97,0
20230106:0711,0,0,10.48,7.66,0
20230106:0811,8.6,2.16,9.89,6.9,0
20230106:0911,40.13,8.14,9.62,5.31,0
20230106:1011,56.38,12.43,9.72,4.69,0
20230106:1111,100.02,14.68,9.98,4.55,0
20230106:1211,143.79,14.69,10.27,4.9,0
20230106:1311,103.35,12.47,10.39,4.34,0
20230106:1411,38.05,8.21,10.05,4.34,0
20230106:1511,5.85,2.24,9.66,4.14,0
20230106:1611,0,0,9,3.93,0
20230106:1711,0,0,8.5,3.52,0
20230106:1811,0,0,8.36,3.38,0
20230106:1911,0,0,7.92,3.31,0
20230106:2011,0,0,8.32,3.52,0
20230106:2111,0,0,8.77,3.93,0
20230106:2211,0,0,9.28,4.34,0
20230106:2311,0,0,9.61,4.48,0
20230107:0011,0,0,9.95,4.69,0
20230107:0111,0,0,10.25,4.9,0
20230107:0211,0,0,10.4,4.83,0
20230107:0311,0,0,10.38,4.76,0
20230107:0411,0,0,10.18,4.69,0
20230107:0511,0,0,10,4.83,0
20230107:0611,0,0,9.75,4.9,0
20230107:0711,0,0,9.04,5.1,0
20230107:0811,8.6,2.22,9.04,5.17,0
20230107:0911,52.55,8.22,9.24,5.31,0
20230107:1011,82.17,12.52,9.81,5.52,0
20230107:1111,116.15,14.79,10.46,5.86,0
20230107:1211,138.75,14.82,10.92,6.28,0
20230107:1311,158.2,12.61,11.09,6.41,0
20230107:1411,84.37,8.36,11.01,6.14,0
20230107:1511,1.95,2.4,10.63,6.07,0
20230107:1611,0,0,10.13,6,0
20230107:1711,0,0,10.23,6.14,0
20230107:1811,0,0,10.4,6.28,0
20230107:1911,0,0,10.33,6.14,0
20230107:2011,0,0,10.17,6.21,0
20230107:2111,0,0,9.71,6.34,0
20230107:2211,0,0,10.12,6.62,0
20230107:2311,0,0,10.47,6.55,0
20230108:0011,0,0,10.16,6.28,0
20230108:0111,0,0,9.74,6.21,0
20230108:0211,0,0,9.32,5.17,0
20230108:0311,0,0,8.89,4.69,0
20230108:0411,0,0,8.53,4.55,0
20230108:0511,0,0,8.2,4.55,0
20230108:0611,0,0,7.95,4.62,0
20230108:0711,0,0,8.32,4.62,0
20230108:0811,10.51,2.29,7.83,4.55,0
20230108:0911,42.04,8.31,7.77,4.48,0
